Date,Product,Region,Sales_Amount,Quantity,Customer_Age,Customer_Satisfaction,Marketing_Spend,Seasonality_Factor
2023-04-13,Product_E,West,1163.5565361167967,8,27,1.8310825177589134,18.529861666751003,1.0
2024-03-11,Product_E,West,1375.609892878561,10,44,1.0811212595783233,5.347582248814093,1.0172133561558347
2025-05-10,Product_A,South,692.3671658641789,9,26,2.9176631945084077,313.27296630352754,1.0344216116227458
2023-09-28,Product_A,South,1719.8870789438854,11,60,3.054815462490222,59.8564489172208,1.0516196672232538
2023-04-17,Product_B,East,1003.9141184131608,8,30,1.9610503379957258,83.30169564027837,1.06880242680232
2023-03-13,Product_A,North,2469.953997169333,16,42,1.4987897884944128,13.246035592029818,1.0859647987374466
2024-12-01,Product_C,West,4644.253850148433,10,36,3.344832664762036,39.568337186898475,1.1031016974474348
2023-01-21,Product_E,South,1414.5901356950221,12,66,4.057022696096565,290.14935543957125,1.1202080448993528
2024-09-06,Product_B,East,1529.0109390210957,7,37,4.972616414360642,136.0583652624169,1.1372787721132647
2023-05-02,Product_A,South,308.2588289262956,13,28,4.033210468842074,425.16992613314164,1.154308820664281
2024-04-11,Product_C,West,3787.256258611801,6,42,4.174529657022324,101.24794152334815,1.1712931441814776
2023-08-03,Product_C,West,1443.6528137159717,13,42,3.46584351291519,62.58650255932563,1.1882267098432442
2023-11-27,Product_A,Central,2308.963868670405,4,33,4.9436906358800705,85.41942476743498,1.2051044998686191
2024-04-03,Product_E,North,605.7470452464565,14,21,3.5598255404582817,249.49564692841105,1.2219215130041654
2023-03-29,Product_A,Central,1758.6787164267032,12,28,4.441013145598817,161.9387487432416,1.23867276600595
2024-01-08,Product_B,East,4189.417311971314,6,45,4.783138584963822,469.08016380291224,1.255353295116187
2023-04-10,Product_A,South,2597.665384057371,7,14,4.719434002002243,184.3454814640622,1.2719581575341055
2025-05-21,Product_C,East,558.525329907778,12,32,2.525661375133426,135.8560380401167,1.288482432880609
2024-10-25,Product_A,West,1819.2276845327815,12,46,1.3146482332570346,308.12488703508365,1.3049212246562891
2023-05-11,Product_E,Central,403.703807109314,9,33,1.6874948101569873,589.5174186434131,1.3212696616923645
2024-10-23,Product_D,Central,5141.478513138308,10,61,1.23689322158643,87.96346264894309,1.3375228995941133
2023-11-05,Product_A,Central,1025.7393831556246,12,14,1.4215877393165601,57.503406591770165,1.3536761221763716
2025-02-08,Product_E,East,696.6611696003887,9,23,1.7386049835747905,191.53580457853258,1.369724542890673
2023-12-10,Product_E,West,1293.946676782918,11,7,2.364377266349607,138.1790720238953,1.385663406243607
2024-05-06,Product_C,South,1085.6141538298407,13,58,3.1741585863003032,905.3748750769996,1.401487989205973
2024-02-18,Product_E,South,6184.971771490403,14,23,3.846728237420344,124.1138812529935,1.4171936026123169
2025-03-16,Product_E,East,4125.99617563476,13,11,1.8437093444260477,15.447831055090822,1.4327755925504313
2024-01-21,Product_E,Central,1499.5829578890314,11,27,3.6900896169525574,757.6874633558559,1.4482293417404106
2023-07-11,Product_E,North,519.7835596771478,11,18,,371.05099725643953,1.463550270902851
2025-08-13,Product_B,East,1875.9616127209022,12,27,3.234489347464758,39.263848324489175,1.4787338401157886
2023-10-04,Product_B,East,513.5674173741684,5,35,4.614471479194842,469.9463532240353,1.4937755501599772
2023-06-10,Product_C,West,802.327321477643,12,44,1.4439792556872426,83.30525785441654,1.5086709438521044
2024-04-04,Product_A,South,2297.39933000936,7,32,1.708485830409678,94.67770536166113,1.5234156073655503
2023-11-10,Product_E,East,914.2832354006076,9,35,2.7146592975579393,473.72677984691904,1.5380051715382996
2023-01-22,Product_A,East,976.0345888693803,13,28,1.5068509409369555,151.05369951321788,1.5524353131676196
2023-09-10,Product_A,Central,4383.415708358544,9,16,3.2651845748963497,29.64500444619096,1.5667017562911176
2025-01-17,Product_C,Central,680.0149493269008,12,12,2.5936018664376976,92.10768418867868,1.580800273453801
2025-05-06,Product_E,North,874.3977684930558,9,30,2.1383831781436737,256.09695057672093,1.5947266869607635
2024-07-14,Product_E,West,2924.288669168838,8,36,,38.276703660496274,1.6084768701151262
2024-04-19,Product_D,North,896.7008157506402,9,29,2.341352953392841,178.43243488921223,1.6220467484408676
2023-02-28,Product_A,Central,2225.1847906894077,10,13,3.431837403329368,237.66854061471923,1.6354323008901774
2024-05-25,Product_A,South,4928.411750404186,11,37,3.3031408435576464,84.27426138617797,1.6486295610349813
2024-11-12,Product_B,Central,2557.327695456917,10,54,1.6544960008409353,236.75606936829308,1.6616346182422783
2024-04-20,Product_D,West,1640.0184609886433,16,33,1.4996792429625336,431.1908406316923,1.6744436188329455
2024-11-30,Product_B,Central,544.0443306150837,13,28,1.1067070504354901,127.77602524517444,1.6870527672236668
2025-09-02,Product_B,West,1118.6899418640744,9,34,1.049702375175729,96.54786198504665,1.699458327051647
2025-02-21,Product_B,West,2116.034646933899,16,21,4.519241742878741,57.84556032404022,1.7116566222817746
2023-07-09,Product_C,West,2612.666553228569,6,20,1.1803554240215597,185.3720181881204,1.7236440382959124
2025-08-15,Product_C,West,1109.1662845681221,6,40,3.924884439492985,423.8062725254271,1.7354170229639854
2024-11-17,Product_B,West,599.807343713476,12,46,4.487940384979828,78.50817751801141,1.7469720876965553
2025-08-15,Product_D,South,767.304535437641,10,33,1.3922313942498303,100.91421967622438,1.7583058084785625
2024-07-16,Product_A,North,559.4926516659317,8,11,2.7452056953320705,104.3859148650076,1.7694148268839378
2025-05-25,Product_D,East,1778.172768780285,9,39,4.849211932697107,164.56569795359547,1.7802958510707754
